UM_CODE;UM_NAMEF;global_id;UM_NAMES;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR
25240;улица Симоновский Вал;58482794;ул. Симоновский Вал;ulicza Simonovskij Val;1;;"0107;0515;0609";77000000000021000
25250;Большой Симоновский переулок;58482795;Б. Симоновский пер.;Bol`shoj Simonovskij pereulok;2;;107;77000000000264700
25270;Симоновский тупик;58482796;Симоновский туп.;Simonovskij tupik;7;;513;77000000000265000
25280;Симферопольский бульвар;58482797;Симферопольский бульв.;Simferopol`skij bul`var;8;;"0615;0703";77000000000265100
25285;Симферопольский проезд;58482798;Симферопольский пр.;Simferopol`skij proezd;3;;615;77000000000265200
25305;Синельниковская улица;58482799;Синельниковская ул.;Sinel`nikovskaya ulicza;1;;711;77000000000265300
25320;1-я улица Синичкина;58482800;1-я ул. Синичкина;Pervaya ulicza Sinichkina;1;;507;77000000000031100
25330;2-я улица Синичкина;58482801;2-я ул. Синичкина;Vtoraya ulicza Sinichkina;1;;507;77000000000031200
25335;Синявинская улица;58482802;Синявинская ул.;Sinyavinskaya ulicza;1;;212;77000000000265600
25340;Сиреневый бульвар;58482803;Сиреневый бульв.;Sirenevy'j bul`var;8;;"0405;0408;0416";77000000000265700
25350;Скаковая аллея;58482804;Скаковая аллея;Skakovaya alleya;9;;202;77000000000265800
25360;Скаковая улица;58482805;Скаковая ул.;Skakovaya ulicza;1;;202;77000000000265900
25370;Скарятинский переулок;58482806;Скарятинский пер.;Skaryatinskij pereulok;2;;106;77000000000715400
25380;Скатертный переулок;58482807;Скатертный пер.;Skatertny'j pereulok;2;;"0101;0106";77000000000266000
25390;Большой Путинковский переулок;58482808;Б. Путинковский пер.;Bol`shoj Putinkovskij pereulok;2;;108;77000000000714100
25395;Складочный тупик;58482809;Складочный туп.;Skladochny'j tupik;7;;309;77000000000382900
25400;Складочная улица;58482810;Складочная ул.;Skladochnaya ulicza;1;;"0305;0309";77000000000266200
25401;Скобелевская улица;58482811;Скобелевская ул.;Skobelevskaya ulicza;1;;711;77000000000395800
25410;Сколковское шоссе;58482812;Сколковское ш.;Skolkovskoe shosse;6;;809;77000000000266300
25420;Скорняжный переулок;58482813;Скорняжный пер.;Skornyazhny'j pereulok;2;;104;77000000000068300
